Timestamp,"Input your participant number as: P + Number (e.g. P1, P42)","1. Overall, I am satisfied with how easy it is to use this system. ",Comments,2. It was simple to use this system. ,Comments,3. I could effectively complete the tasks and scenarios using this system. ,Comments,4. I was able to complete the tasks and scenarios quickly using this system. ,Comments,5. I was able to efficiently complete the tasks and scenarios using this system.,Comments,6. I felt comfortable using this system.,Comments,7. It was easy to learn to use this system.,Comments,8. I believe I could become productive quickly using this system. ,Comments,9. The system gave error messages that clearly told me how to fix problems.,Comments,"10. Whenever I made a mistake using the system, I could recover easily and  quickly.",Comments,"11. The information (such as on-line help, on-screen messages and  other documentation) provided with this system was clear. ",Comments,12. It was easy to find the information I needed. ,Comments,13. The information provided for the system was easy to understand. ,Comments,14. The information was effective in helping me complete the tasks and  scenarios. ,Comments,15. The organization of information on the system screens was clear. ,Comments,16. The interface of this system was pleasant. ,Comments,17. I liked using the interface of this system. ,Comments,18. This system has all the functions and capabilities I expect it to have. ,Comments,"19. Overall, I am satisfied with this system. ",Comments
11/18/2021 12:31:56,P1,2,"Adding in multiple counties for queries is somewhat cumbersome, but otherwie very good",2,Same as above.,2,It took me a while to understand the data lineage and metadata info but that's probably mostly due to my own ignorance,3,Same as above,3,Same as above,2,"Nice interface, graphics presented very nicely",3,"While it was easy, I wonder if it would have been as simple without the task sheet to guide me. For example, I may not have noticed the ""download all"" tab.",3,"For my specific purposes, it's probably easier for me to just get a complete dump of the stitched event/environmental data. But I can certainly see how this would be useful for other research purposes, especially non-stats people who may not know how to make their own effective data visualisations.",4,NA - I don't believe I encountered any errors.,1,"The only mistake I think I made was accidentaly removing a column when I didn't need to, but I think I quickly figured out how to add it back",3,There was a lot of information and not all of it was relevant to me. But I think it's a good idea that it's there. The information that was relevant to me was mostly clear.,2,"Some tooltips missing. Wasn't entirely sure what ""time lag"" meant.",2,Same as above.,1,No issues,2,Mostly very well laid out. The data provenance/data lineage/ metadata tables confused me at first.,1,No issues,1,No issues,2,I think time series plots and histograms would be good additions,2,"Some small gripes here and there, but mostly it seems like a very well made system"
11/19/2021 11:59:24,P2,2,I missed some things on the screen but that could have been because t was a first use and I was being observed. Once I spotted the features they were easy to use.,2,It was much more simple than having to create queries using the current query interfaces.,1,I finished all tasks within a reasonable timeframe.,3,I was quicker for the second query. I would be quicker if I was to do it regularly.,2,I was able to explore the interface efficiently. Even if I choose an incorrect option I was able to get back on track.,1,I was looking forward to seeing the data appear and to investigate it. The interface didnt get in the way of that interest.,1,,1,,4,,2,The interface is intuitive,2,,4,Sometimes I didnt notice the help information.,3,Some more icons on the graphs could have been useful. The tabular data was easier to understand as it had more labels.,3,,3,I wasnt sure why I had 5 buttons below the information on the right hand side of the screen.,2,Yes it was clear and not fussy. The only part that was a little difficult to interpret was all the text about the meta data. This data is essential to have but could have been summarised carefully using icons,2,The interface was interesting to explore. I wanted to see what all the buttons and options did.,3,I would have liked a way to compare or combine the visual results of the queries. At least to view them side by side.,2,
11/25/2021 9:44:41,P3,1,It is very straightforward to navigate through the dashboard!,1,,1,,1,,1,,1,,1,,1,,4,"I don't recall any error messages, despite there were errors (memory errors, etc.)",2,,1,,1,,1,,1,,1,,1,,1,,1,,1,
11/25/2021 14:03:55,P4,1,,2,,1,,1,,1,,1,,1,"It was very easy, but my prior experience with it probably made it easier.",1,,3,"In some cases, when the queries don't get available data, or the plots become buggy, the error messages could be clearer. ",1,,2,"In general it's really clear, but as already mentioned, some of the terms/plots could be more explained.",1,,2,"All the metadata stuff isn't 'hard', but in general I would not classify it as 'easy' either.",1,,1,,1,,1,,2,"It does, but I already did some suggestions on potential additions.",1,
11/26/2021 9:29:00,P6,2,Some technical terms not so easy to understand,2,I suppose is as simply as possible due to the complexity of the subject,2,I needed some time of adaptation...,2,After a time of adaptation!,2,I think I didn't complete all the asked tasks.,2,Albert made it more comfortable! ,2,It could be easier with some examples,1,,2,When I got no results I didn't receive any message of error,1,,1,,1,,2,,2,,1,,2,Technical information make it less pleasant,2,,2,"For a case-control study, I will still need to have control exposures information",2,
11/26/2021 9:54:03,P5,2,,2,,2,,2,,2,,2,,2,,3,,4,Memory issues weren't reported but information about queries was informative,2,,2,,3,,2,,2,,3,,2,,2,,2,,2,
11/26/2021 15:42:52,P7,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
11/29/2021 16:20:18,P8,2,,2,,3,,3,,4,,2,,3,,1,,5,,2,,2,,3,,3,,2,,2,,1,,1,,2,,2,
11/29/2021 17:14:32,P9,2,"small tweaks could be added as we discussed, small info panels, a bit more description of some plots, different naming of axes, general introduction",1,,2,,2,,1,,1,i liked the tables and box plots very much,2,,1,,6,"selecting number of days and data frequency was confusing, I would add more info there (i initially selected something that made no sense at all, perhaps system should have warned me or not let me do it)_",2,,2,,2,,1,,2,,2,,1,,1,,2,"yes, just more information is needed",1,
11/30/2021 16:54:22,P10,3,It's complex stuff so hard to be very easy to use,3,,2,I wasn't totally effective at first attempt,4,,4,,2,,3,,2,,4,"I got very few error messages, if any",3,,3,,3,,2,,3,,3,"The provenane, lineage and metadata sections had me very confused.",2,,2,,1,,2,
