id,document,tag,content
473,P2_GMT20211119.odt,Home tab elements useful,"Okay, I read this and I think the text is clear."
474,P2_GMT20211119.odt,Wording not clear,I am not exactly sure what all the images are for or whether they are there to help me.
475,P2_GMT20211119.odt,Home tab elements useful,I think that's everything I get that I get to be held to support to do my queries.
476,P2_GMT20211119.odt,Query inputs and elements useful,"Now, I am going to log in with the credentials provided. Okay, I am in."
477,P2_GMT20211119.odt,Query inputs and elements useful,I am going to select definite events for people in Ireland.
478,P2_GMT20211119.odt,Query inputs and elements useful,I am going to go for Dublin.
479,P2_GMT20211119.odt,Query inputs and elements useful,"Length of days, I am going to put in ... Time window length, so I am going to go for a seven day period."
480,P2_GMT20211119.odt,Query process complex,"Time window lag, so I think this means either side of that."
481,P2_GMT20211119.odt,Query process complex,"(The participant reads the temporal unit tool tip) I don't know what that is. Oh sorry, maybe that is at those temporal windows there."
482,P2_GMT20211119.odt,Query process complex,I am going to try to submit that but I am not doing something right.
483,P2_GMT20211119.odt,Query process clear,"No events, okay. I think I have ... Maybe if I change this."
484,P2_GMT20211119.odt,Query inputs and elements useful,"Let's see what I did there. Oh sorry, now I am getting this. Temporal units, I am gonna go by the day"
485,P2_GMT20211119.odt,Task sequence complex,So let me get back to my tasks. (The participant reads the task again)
486,P2_GMT20211119.odt,Query process complex,I was not sure whether I was inputting a query.
487,P2_GMT20211119.odt,Additional feature suggestion,"Maybe just something like enter a query, even though you have query inputs up there."
487,P2_GMT20211119.odt,Additional explanation,"Maybe just something like enter a query, even though you have query inputs up there."
488,P2_GMT20211119.odt,Export (meta)data useful,So this is my query and I was looking for definite events and here I have environmental information.
489,P2_GMT20211119.odt,Export (meta)data useful,(The participant reads the column heading descriptions from the data table)
489,P2_GMT20211119.odt,Task sequence complex,(The participant reads the column heading descriptions from the data table)
490,P2_GMT20211119.odt,Additional explanation,I am not sure what NOx means.
491,P2_GMT20211119.odt,Task sequence complex,(The participant reads the task again)
492,P2_GMT20211119.odt,Navigation complex,"When I was reading it, I was expecting that the data provenance, lineage, use and limitations would have a button for each. So that surprised me a bit. I want to explore them now."
493,P2_GMT20211119.odt,Task sequence complex,Each of the three buttons but I got five buttons.
494,P2_GMT20211119.odt,Metadata content clear and useful,"I am seeing example events Ireland, Wexford and 4 returns, so that is the provenance."
495,P2_GMT20211119.odt,Metadata content not useful or confusing,"I am getting this information here, which I am not sure what it means."
496,P2_GMT20211119.odt,Metadata content not useful or confusing,"Okay, here. So it is telling me where all the metadata is coming from I think."
497,P2_GMT20211119.odt,Navigation complex,"FAIR metadata export, I think I am not getting how this is all changing. Let me just go back."
498,P2_GMT20211119.odt,Navigation complex,"So that is the provenance, so when I close that it goes away. The same for the lineage and full metadata."
499,P2_GMT20211119.odt,Navigation complex,"I would have expected not to have all of them appear at the same time, but when I click another one the previous would disappear."
500,P2_GMT20211119.odt,Additional feature suggestion,Maybe also a button to show them all together.
501,P2_GMT20211119.odt,Simple export,"FAIR metadata export, I am getting a file coming down here."
502,P2_GMT20211119.odt,Navigation complex,I still have this text area showing. Let's see ...
503,P2_GMT20211119.odt,Task sequence complex,Let's see ... (The participant reads the sub task again)
504,P2_GMT20211119.odt,Metadata content clear and useful,"I think there was only one. Oh, no I better go back and take a look. How many data sets were used? Three data sets."
505,P2_GMT20211119.odt,Search feature simple,"Okay, the data license is there and it is a creative commons license."
506,P2_GMT20211119.odt,Metadata content not useful or confusing,The data use is just rdfs:comment. It is an rdfs about the data use but not telling me anything about it
510,P2_GMT20211119.odt,Search feature simple,"I have to ask about the identification, so this should be an interesting one. Where is my identification risk? Okay, so the information seems to be here but it may be better to have it summarized in a better particular way so that you can expand it in more detail. If I want to go further."
511,P2_GMT20211119.odt,Additional feature suggestion,"Okay, so the information seems to be here but it may be better to have it summarized in a better particular way so that you can expand it in more detail. If I want to go further."
509,P2_GMT20211119.odt,Search information process complex,"Okay, so I can't find the risk. MODERATOR: Do you want to try to use Control+F? Oh, you told me that. I am using Control+F but it is not doing anything. MODERATOR: Control+F opens a little box on the top and you can type what you want to look for? Okay, so risk."
572,P2_GMT20211119.odt,Moderator comment,MODERATOR: Do you want to try to use Control+F?
573,P2_GMT20211119.odt,Moderator comment,MODERATOR: Control+F opens a little box on the top and you can type what you want to look for?
512,P2_GMT20211119.odt,Search information process complex,So this has risk ... Data sets storage ... I am not getting an understanding of what the risk is. MODERATOR: Maybe you could use the arrows in the Control+F search box at the top right corner of your screen.
574,P2_GMT20211119.odt,Moderator comment,MODERATOR: Maybe you could use the arrows in the Control+F search box at the top right corner of your screen.
513,P2_GMT20211119.odt,Search information process complex,"Okay, now I got some description here now. It took me a while to find that. There is something there that is telling me. So my answer is that it could be just clearer or I could be faster."
514,P2_GMT20211119.odt,Navigation complex,"Now I am going to click on these extra buttons and I am going to get rid of that one, ups. I don't know why that happened."
515,P2_GMT20211119.odt,Export (meta)data useful,"So do I understand the columns? (The participant reads the column heading descriptions) So yes, they are clearly the ones I got there. If I am an expert in all of those things, I would know."
516,P2_GMT20211119.odt,Additional feature suggestion,"Maybe if I am an expert I would like to know more information, maybe ranges or something if that is relevant."
517,P2_GMT20211119.odt,Export (meta)data useful,"So yes, I guess I can find this information."
519,P2_GMT20211119.odt,Navigation complex,"So I am not told. Instinctively, I would say that the red ones are warnings or that they are higher of a particular range of something. The blue ones might be lower then."
518,P2_GMT20211119.odt,Additional feature suggestion,Maybe the range would have been nice to have up here if that is the case.
518,P2_GMT20211119.odt,Additional explanation,Maybe the range would have been nice to have up here if that is the case.
520,P2_GMT20211119.odt,Navigation complex,So we can hide them. I am not quite sure where the toggle columns button is but I can use the little eye to do that.
521,P2_GMT20211119.odt,Navigation complex,"I suppose ... but wait, how do I get the hidden columns back? I don't know if I have them all displayed now because I got rid of some of them."
522,P2_GMT20211119.odt,Navigation complex,Maybe I go and I do this. I am not sure how I am going to get them back or maybe they are all there because I don't remember. Oh no because I don't have the event column.
523,P2_GMT20211119.odt,Data table features useful,"MODERATOR: Maybe try the toggle columns button. Oh, very good. Now I found it. Okay, so I am making them disappear, not making them appear. Okay I got all the columns now. Okay, so that is obvious to me now and that is a handy feature."
523,P2_GMT20211119.odt,Navigation complex,"MODERATOR: Maybe try the toggle columns button. Oh, very good. Now I found it. Okay, so I am making them disappear, not making them appear. Okay I got all the columns now. Okay, so that is obvious to me now and that is a handy feature."
575,P2_GMT20211119.odt,Moderator comment,MODERATOR: Maybe try the toggle columns button.
526,P2_GMT20211119.odt,Wording not clear,I didn't notice these up here. I don't remember seeing that before
525,P2_GMT20211119.odt,Data table features useful,"(The participant reads the data background paragraph). Okay, so the red are high and the blue are low, so what I expected them to be."
527,P2_GMT20211119.odt,Export (meta)data useful,"So now, Can I make sense now? is my question. So I have an event with a particular name and I have all of this data here. I am understanding that on this particular day this event occurred and these are all the environmental factors that happened there. These are now all linked together from different data sets."
530,P2_GMT20211119.odt,Metadata content not useful or confusing,I did have three data sets but I am not sure which environmental variable comes from which data sets but I know that they are linked.
528,P2_GMT20211119.odt,Additional feature suggestion,"So, maybe the data set that it came from might be a useful thing to know. I don't know how you can mark them but that would be something useful."
