id,document,tag,content
2338,P1_Nov21_PSSUQ_Comments.odt,Navigation complex,Adding in multiple counties for queries is somewhat cumbersome
2339,P1_Nov21_PSSUQ_Comments.odt,Overall positive experience,but otherwise very good
2340,P1_Nov21_PSSUQ_Comments.odt,Metadata content not useful or confusing,It took me a while to understand the data lineage and metadata info but that's probably mostly due to my own ignorance
2341,P1_Nov21_PSSUQ_Comments.odt,Visualization useful,"Nice interface, graphics presented very nicely"
2342,P1_Nov21_PSSUQ_Comments.odt,Task sequence complex,"While it was easy, I wonder if it would have been as simple without the task sheet to guide me. For example, I may not have noticed the ""download all"" tab."
2342,P1_Nov21_PSSUQ_Comments.odt,Navigation complex,"While it was easy, I wonder if it would have been as simple without the task sheet to guide me. For example, I may not have noticed the ""download all"" tab."
2343,P1_Nov21_PSSUQ_Comments.odt,Export (meta)data useful,"For my specific purposes, it's probably easier for me to just get a complete dump of the stitched event/environmental data."
2344,P1_Nov21_PSSUQ_Comments.odt,Visualization useful,"But I can certainly see how this would be useful for other research purposes, especially non-stats people who may not know how to make their own effective data visualisations."
2345,P1_Nov21_PSSUQ_Comments.odt,Data table features useful,"The only mistake I think I made was accidentally removing a column when I didn't need to, but I think I quickly figured out how to add it back"
2346,P1_Nov21_PSSUQ_Comments.odt,Metadata content not useful or confusing,There was a lot of information and not all of it was relevant to me.
2347,P1_Nov21_PSSUQ_Comments.odt,Data table features useful,But I think it's a good idea that it's there. The information that was relevant to me was mostly clear.
2347,P1_Nov21_PSSUQ_Comments.odt,Metadata content clear and useful,But I think it's a good idea that it's there. The information that was relevant to me was mostly clear.
2348,P1_Nov21_PSSUQ_Comments.odt,Additional explanation,"Some tooltips are missing. Wasn't entirely sure what ""time lag"" meant."
2348,P1_Nov21_PSSUQ_Comments.odt,Query process complex,"Some tooltips are missing. Wasn't entirely sure what ""time lag"" meant."
2349,P1_Nov21_PSSUQ_Comments.odt,Overall positive experience,Mostly very well laid out.
2350,P1_Nov21_PSSUQ_Comments.odt,Metadata content not useful or confusing,The data provenance/data lineage/ metadata tables confused me at first.
2351,P1_Nov21_PSSUQ_Comments.odt,Additional feature suggestion,I think time series plots and histograms would be good additions
2352,P1_Nov21_PSSUQ_Comments.odt,Overall positive experience,"Some small gripes here and there, but mostly it seems like a very well made system"
2353,P2_Nov21_PSSUQ_Comments.odt,Overall positive experience,I missed some things on the screen but that could have been because it was a first use and I was being observed. Once I spotted the features they were easy to use.
2354,P2_Nov21_PSSUQ_Comments.odt,Overall positive experience,It was much more simple than having to create queries using the current query interfaces.
2354,P2_Nov21_PSSUQ_Comments.odt,Query inputs and elements useful,It was much more simple than having to create queries using the current query interfaces.
2354,P2_Nov21_PSSUQ_Comments.odt,Query process clear,It was much more simple than having to create queries using the current query interfaces.
2355,P2_Nov21_PSSUQ_Comments.odt,Overall positive experience,I finished all tasks within a reasonable timeframe.
2356,P2_Nov21_PSSUQ_Comments.odt,Overall positive experience,I was quicker for the second query. I would be quicker if I was to do it regularly.
2357,P2_Nov21_PSSUQ_Comments.odt,Overall positive experience,I was able to explore the interface efficiently. Even if I choose an incorrect option I was able to get back on track.
2358,P2_Nov21_PSSUQ_Comments.odt,Overall positive experience,I was looking forward to seeing the data appear and to investigate it. The interface didn't get in the way of that interest.
2359,P2_Nov21_PSSUQ_Comments.odt,Overall positive experience,The interface is intuitive
2360,P2_Nov21_PSSUQ_Comments.odt,Navigation complex,Sometimes I didn't notice the help information.
2361,P2_Nov21_PSSUQ_Comments.odt,Additional feature suggestion,Some more icons on the graphs could have been useful.
2362,P2_Nov21_PSSUQ_Comments.odt,Data table features useful,The tabular data was easier to understand as it had more labels.
2363,P2_Nov21_PSSUQ_Comments.odt,Navigation complex,I wasn't sure why I had 5 buttons below the information on the right hand side of the screen.
2364,P2_Nov21_PSSUQ_Comments.odt,Additional feature suggestion,Yes it was clear and not fussy. The only part that was a little difficult to interpret was all the text about the meta data. This data is essential to have but could have been summarised carefully using icons
2364,P2_Nov21_PSSUQ_Comments.odt,Metadata content not useful or confusing,Yes it was clear and not fussy. The only part that was a little difficult to interpret was all the text about the meta data. This data is essential to have but could have been summarised carefully using icons
2365,P2_Nov21_PSSUQ_Comments.odt,Additional feature suggestion,I would have liked a way to compare or combine the visual results of the queries. At least to view them side by side.
2366,P3_Nov21_PSSUQ_Comments.odt,Overall positive experience,It is very straightforward to navigate through the dashboard!
2367,P3_Nov21_PSSUQ_Comments.odt,System issue,"I don't recall any error messages, despite being errors (memory errors, etc.)"
2368,P4_Nov21_PSSUQ_Comments.odt,Overall positive experience,"It was very easy, but my prior experience with it probably made it easier."
2369,P4_Nov21_PSSUQ_Comments.odt,Additional explanation,"In some cases, when the queries don't get available data, or the plots become buggy, the error messages could be clearer."
2370,P4_Nov21_PSSUQ_Comments.odt,Additional explanation,"In general it's really clear, but as already mentioned, some of the terms/plots could be more explained."
2371,P4_Nov21_PSSUQ_Comments.odt,Metadata content not useful or confusing,"All the metadata stuff isn't 'hard', but in general I would not classify it as 'easy' either."
2372,P4_Nov21_PSSUQ_Comments.odt,Additional feature suggestion,"It does, but I already made some suggestions on potential additions."
2373,P5_Nov21_PSSUQ_Comments.odt,System issue,Memory issues weren't reported
2374,P5_Nov21_PSSUQ_Comments.odt,Query inputs and elements useful,but the information about queries was informative
2375,P6_Nov21_PSSUQ_Comments.odt,Wording not clear,Some technical terms not so easy to understand
2376,P6_Nov21_PSSUQ_Comments.odt,Overall positive experience,I suppose is as simply as possible due to the complexity of the subject
2377,P6_Nov21_PSSUQ_Comments.odt,Task sequence complex,needed some time to adapt...
2377,P6_Nov21_PSSUQ_Comments.odt,Navigation complex,needed some time to adapt...
2378,P6_Nov21_PSSUQ_Comments.odt,Task sequence complex,After a time of adaptation!
2378,P6_Nov21_PSSUQ_Comments.odt,Navigation complex,After a time of adaptation!
2379,P6_Nov21_PSSUQ_Comments.odt,Task sequence complex,I think I didn't complete all the tasks asked.
2380,P6_Nov21_PSSUQ_Comments.odt,Moderator assist,The moderator made it more comfortable!
2380,P6_Nov21_PSSUQ_Comments.odt,Overall positive experience,The moderator made it more comfortable!
2381,P6_Nov21_PSSUQ_Comments.odt,Additional feature suggestion,It could be easier with some examples
2382,P6_Nov21_PSSUQ_Comments.odt,Query process complex,When I got no results I didn't receive any message of error
2383,P6_Nov21_PSSUQ_Comments.odt,Navigation complex,Technical information make it less pleasant
2384,P6_Nov21_PSSUQ_Comments.odt,Additional feature suggestion,"For a case-control study, I will still need to have control exposures information"
2385,P9_Nov21_PSSUQ_Comments.odt,Additional feature suggestion,"Small tweaks could be added as we discussed, small info panels, a bit more description of some plots, different naming of axes, general introduction"
2385,P9_Nov21_PSSUQ_Comments.odt,Additional explanation,"Small tweaks could be added as we discussed, small info panels, a bit more description of some plots, different naming of axes, general introduction"
2385,P9_Nov21_PSSUQ_Comments.odt,Plot design complex,"Small tweaks could be added as we discussed, small info panels, a bit more description of some plots, different naming of axes, general introduction"
2386,P9_Nov21_PSSUQ_Comments.odt,Visualization useful,I liked the tables and box plots very much
2387,P9_Nov21_PSSUQ_Comments.odt,Query process complex,"Selecting number of days and data frequency was confusing, I would add more info there (I initially selected something that made no sense at all, perhaps the system should have warned me or not let me do it)."
2388,P9_Nov21_PSSUQ_Comments.odt,Additional explanation,"Yes, just more information is needed."
